Comment,Designator,Footprint,LCSC
100n,"C1,C11,C15,C2,C4,C6,C7,C8",C_0402_1005Metric,C1525
10u,"C12,C3",C_0402_1005Metric,C15525
10u,"C5,C9",C_0805_2012Metric,C15850
0 Ohm,R3,R_0402_1005Metric,C17168
12nH,L2,L_0402_1005Metric,C2043991
22,R2,R_0402_1005Metric,C23345
4.7u,C14,C_0402_1005Metric,C23733
470,R4,R_0402_1005Metric,C25117
10k,R1,R_0402_1005Metric,C25744
4.7k,"R5,R6",R_0402_1005Metric,C25900
LED red 0402,D1,LED_0402_1005Metric,C273598
TPS61221DCK,U2,Texas_R-PDSO-G6,C2865756
Config button,SW1,SW_TS-1187A-B-A-B,C318884
ATmega1284P-AU,U1,TQFP-44_10x10mm_P0.8mm,C33575
SHT45-AD1B-R2,U3,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C5221601
4.7u,L1,FUEL4EP_Inductor_SMD_1,C576538
E07-900MM10S,Module1,eByte_E07-900MM10S,C5844212
1pF,C13,C_0402_1005Metric,C72134
FerriteBead,FB1,L_0402_1005Metric,C76889
